"","ID1","ID2","MHCAll_perc_similar","MHCI_perc_similar","MHCII_perc_similar","KINSHIP","MHCall_common","MHCall_unique","MHCI_common","MHCI_unique","MHCII_common","MHCII_unique","Supertypeall_common","Supertypesall_unique","SupertypeAB_common","SupertypesAB_unique","SupertypeII_common","SupertypesII_unique"
"1","10","1",0.0294,0.0526,0,-0.0945988,1,34,1,19,0,15,7,18,4,9,3,9
"2","10","2",0.1379,0.2857,0,-0.16239,4,29,4,14,0,15,8,14,5,6,3,8
"3","10","3",0.0968,0.1667,0,-0.117873,3,31,3,18,0,13,9,17,5,9,4,8
"4","10","4",0,0,0,-0.0921234,0,33,0,19,0,14,6,18,2,11,4,7
"5","10","5",0.0588,0.0952,0,-0.105446,2,34,2,21,0,13,6,17,3,10,3,7
"6","10","6",0.129,0.2222,0,-0.0945885,4,31,4,18,0,13,7,17,5,10,2,7
"7","10","7",0.2143,0.1579,0.3333,-0.0601081,6,28,3,19,3,9,8,16,4,10,4,6
"8","10","8",0.0968,0.1765,0,-0.0340846,3,31,3,17,0,14,5,16,3,9,2,7
"9","10","9",0.0312,0.0476,0,-0.193534,1,32,1,21,0,11,5,18,4,11,1,7
"10","11","1",0.3077,0.2667,0.3636,0.112639,8,26,4,15,4,11,10,18,5,10,5,8
"11","11","10",0.0645,0.1176,0,-0.112418,2,31,2,17,0,14,8,17,3,9,5,8
"12","11","2",0.3913,0.4167,0.3636,0.0634209,9,23,5,12,4,11,9,16,4,9,5,7
"13","11","3",0.375,0.25,0.625,-0.0357362,9,24,4,16,5,8,12,17,6,10,6,7
"14","11","4",0.3333,0.3846,0.2727,0.16868,8,24,5,13,3,11,10,17,6,9,4,8
"15","11","5",0.2069,0.2941,0.0833,0.102009,6,29,5,17,1,12,10,16,7,8,3,8
"16","11","6",0.1724,0.2353,0.0833,-0.0452446,5,29,4,17,1,12,9,18,6,11,3,7
"17","11","7",0.1379,0.1667,0.0909,-0.109944,4,29,3,18,1,11,10,17,6,10,4,7
"18","11","8",0.0312,0.0556,0,-0.0944016,1,32,1,18,0,14,5,19,3,11,2,8
"19","11","9",0.2308,0.4,0,-0.171635,6,26,6,15,0,11,9,17,7,10,2,7
"20","12","1",0.129,0.125,0.1333,0.0524521,4,31,2,16,2,15,9,16,5,9,4,7
"21","12","10",0.0303,0.0588,0,-0.0610519,1,33,1,17,0,16,6,16,3,8,3,8
"22","12","11",0.1379,0.2143,0.0667,0.0375139,4,29,3,14,1,15,8,17,4,9,4,8
"23","12","2",0.2222,0.1429,0.3077,-0.046543,6,27,2,14,4,13,7,15,4,8,3,7
"24","12","3",0.0968,0.1176,0.0714,-0.0438544,3,31,2,17,1,14,9,17,5,10,4,7
"25","12","4",0.4348,0.4167,0.4545,0.0170771,10,23,5,12,5,11,9,15,5,9,4,6
"26","12","5",0.3846,0.3125,0.5,-0.000503378,10,26,5,16,5,10,9,14,5,9,4,5
"27","12","6",0.2963,0.1765,0.5,-0.0302296,8,27,3,17,5,10,9,15,6,10,3,5
"28","12","7",0.0968,0.1111,0.0769,-0.0491862,3,31,2,18,1,13,8,16,6,9,2,7
"29","12","8",0.3077,0.2,0.4545,-0.0270157,8,26,3,15,5,11,7,14,4,9,3,5
"30","12","9",0.32,0.25,0.4444,-0.179808,8,25,4,16,4,9,8,15,6,10,2,5
"31","13","1",0.16,0.2667,0,-0.0179291,4,25,4,15,0,10,7,17,6,10,1,7
"32","13","10",0.12,0.1875,0,0.020471,3,25,3,16,0,9,6,15,4,9,2,6
"33","13","11",0.1739,0.2,0.125,-0.09022,4,23,3,15,1,8,8,16,6,9,2,7
"34","13","12",0.12,0.1333,0.1,-0.0143545,3,25,2,15,1,10,7,14,5,9,2,5
"35","13","2",0.1739,0.3077,0,-0.13003,4,23,4,13,0,10,6,15,5,9,1,6
"36","13","3",0.6471,0.8182,0.3333,-0.0546244,11,17,9,11,2,6,10,15,8,9,2,6
"37","13","4",0.08,0.0588,0.125,-0.0758792,2,25,1,17,1,8,8,15,6,10,2,5
"38","13","5",0.5,0.5714,0.3333,-0.0627211,10,20,8,14,2,6,9,13,7,9,2,4
"39","13","6",0.6111,0.75,0.3333,-0.0501128,11,18,9,12,2,6,10,13,8,10,2,3
"40","13","7",0.4737,0.5,0.4,-0.0364061,9,19,7,14,2,5,8,15,6,11,2,4
"41","13","8",0.0769,0.1176,0,0.0904071,2,26,2,17,0,9,5,15,4,11,1,4
"42","13","9",0.08,0.1053,0,-0.192032,2,25,2,19,0,6,9,13,8,10,1,3
"43","14","1",0.0588,0.1053,0,-0.00229385,2,34,2,19,0,15,9,15,6,8,3,7
"44","14","10",0.2963,0.3125,0.2727,-0.0621503,8,27,5,16,3,11,7,14,4,7,3,7
"45","14","11",0.0968,0.1765,0,-0.0305575,3,31,3,17,0,14,8,16,4,9,4,7
"46","14","12",0.2963,0.2667,0.3333,-0.010891,8,27,4,15,4,12,7,14,5,7,2,7
"47","14","13",0.0741,0.1111,0,-0.012863,2,27,2,18,0,9,6,14,5,9,1,5
"48","14","2",0.2143,0.1176,0.3636,-0.0839054,6,28,2,17,4,11,8,13,5,7,3,6
"49","14","3",0.0606,0.1,0,-0.0426822,2,33,2,20,0,13,9,16,6,9,3,7
"50","14","4",0.0968,0.1765,0,-0.0302223,3,31,3,17,0,14,6,17,4,10,2,7
"51","14","5",0.1212,0.2,0,-0.000651244,4,33,4,20,0,13,6,16,5,9,1,7
"52","14","6",0.2414,0.15,0.4444,0.000318703,7,29,3,20,4,9,8,15,6,10,2,5
"53","14","7",0.1667,0.0952,0.3333,-0.0576357,5,30,2,21,3,9,9,14,6,9,3,5
"54","14","8",0.1667,0.1053,0.2727,-0.0580475,5,30,2,19,3,11,5,15,4,9,1,6
"55","14","9",0.3077,0.2105,0.5714,-0.164094,8,26,4,19,4,7,7,15,5,11,2,4
"56","15","1",0.4,0.4,0.4,-0.0182674,10,25,6,15,4,10,12,17,7,10,5,7
"57","15","10",0.0968,0.1667,0,-0.0923018,3,31,3,18,0,13,9,17,5,9,4,8
"58","15","11",0.375,0.25,0.625,-0.0136822,9,24,4,16,5,8,12,17,6,10,6,7
"59","15","12",0.0968,0.1176,0.0714,0.00827957,3,31,2,17,1,14,9,17,5,10,4,7
"60","15","13",0.6471,0.8182,0.3333,-0.0309556,11,17,9,11,2,6,10,15,8,9,2,6
"61","15","14",0.0606,0.1,0,0.123635,2,33,2,20,0,13,9,16,6,9,3,7
"62","15","2",0.4348,0.4615,0.4,-0.0796758,10,23,6,13,4,10,11,15,6,9,5,6
"63","15","3",1,1,1,-0.0104454,17,17,11,11,6,6,15,15,9,9,6,6
"64","15","4",0.0645,0.0526,0.0833,-0.0274403,2,31,1,19,1,12,9,19,6,11,3,8
"65","15","5",0.3846,0.5,0.2,0.00991305,10,26,8,16,2,10,10,17,7,10,3,7
"66","15","6",0.4583,0.6429,0.2,-0.0108897,11,24,9,14,2,10,12,16,9,10,3,6
"67","15","7",0.4167,0.5333,0.2222,-0.0416833,10,24,8,15,2,9,10,18,7,11,3,7
"68","15","8",0.0625,0.1053,0,-0.0498602,2,32,2,19,0,13,7,18,5,11,2,7
"69","15","9",0.1,0.15,0,-0.163555,3,30,3,20,0,10,10,17,8,11,2,6
"70","16","1",0.25,0.25,0.25,-0.0449611,7,28,4,16,3,12,9,16,5,9,4,7
"71","16","10",0.0625,0.1111,0,-0.102528,2,32,2,18,0,14,7,15,4,7,3,8
"72","16","11",0.1379,0.2667,0,-0.0254726,4,29,4,15,0,14,8,17,4,9,4,8
"73","16","12",0.2143,0.2857,0.1429,-0.0496123,6,28,4,14,2,14,8,14,5,7,3,7
"74","16","13",0.1667,0.2667,0,-0.0745256,4,24,4,15,0,9,7,14,6,8,1,6
"75","16","14",0.2069,0.4,0,-0.0039744,6,29,6,15,0,14,7,14,5,7,2,7
"76","16","15",0.1333,0.2353,0,-0.0214378,4,30,4,17,0,13,10,16,6,9,4,7
"77","16","2",0.1379,0.2857,0,-0.12238,4,29,4,14,0,15,9,13,5,7,4,6
"78","16","3",0.1333,0.2353,0,-0.0861989,4,30,4,17,0,13,10,16,6,9,4,7
"79","16","4",0.1786,0.1875,0.1667,-0.0225286,5,28,3,16,2,12,6,18,4,10,2,8
