ID,Total,Mapped,pm
1,10300845,10275104,0.997501079
2,7767429,7745036,0.997117064
3,5377431,5358988,0.996570295
4,2282689,2275140,0.996692935
5,2707722,2700212,0.997226451
6,5078423,5061381,0.996644234
7,4296907,4283151,0.996798627
8,4074775,4062006,0.99686633
9,4104092,4092444,0.997161857
10,2794487,2784199,0.996318466
11,4729905,4715471,0.996948353
12,2126569,2120153,0.996982934
13,3667486,3656991,0.997138367
14,4663074,4650801,0.997368045
15,5055649,5041876,0.997275721
17,6412078,6393090,0.997038714
18,3323646,3312958,0.996784254
20,2654930,2646419,0.996794266
21,3327866,3318863,0.997294663
91,4365226,4349606,0.99642172
97,6484867,6463276,0.996670556
113,1976554,1970161,0.996765583
