"Name","Supertype"
"UN_Paan-B_20_05_1",1
"UN_Paan-B_20_05_2",1
"Paan-B_52_01",12
"Paan-B_31_03",7
"UN_Paan-B_22_01",11
"UN_Paan-B_43_01_1",10
"UN_Paan-B_20_05_3",1
"UN_Paan-B_43_01_4",4
"UN_Paan-AG_01_01_02_1",3
"UN_Paan-A_14_03_1",5
"Paan-B_02_02_06",7
"UN_Paan-B_20_05_5",1
"UN_Paan-B_07_03_1",6
"UN_Paan-B_58_01",9
"Paan-AG_01_03",3
"UN_Paan-A_14_03_2",5
"Paan-AG_01_01_02",3
"UN_Paan-B_35_01",8
"UN_Paan-A_14_03_3",5
"Paan-B_20_05",9
"Paan-A_19_02",2
"UN_Paan-A_23_01",2
"Paan-B_22_01",11
"UN_Paan-B_11_04",8
"UN_Paan-B_59_01",1
"UN_Paan-AG_01_01_02_3",2
"UN_Paan-B_43_01_3",4
"Paan-A_01_03",2
"Paan-A_02_04",2
"UN_Paan-B_07_03_2",8
"Paan-AG_01_01_01",3
"Paan-B_23_01",1
"UN_Paan-A_14_04",2
"UN_Paan-B_20_05_6",1
"Paan-B_39_03",6
"UN_Paan-B_20_05_4",1
"UN_Paan-B_43_01_2",4
"Paan-B_02_13",7
"Paan-A_10_01",4
"Paan-B_32_03",1
"Paan-B_54_01",1
"Paan-A_14_03",5
"UN_Paan-AG_01_01_02_2",3
"UN_Paan-B_56_01",6
"Paan-B_39_05",6
"UN_Paan-B_52_01",12
"UN_Paan-B_20_05_7",9
"UN_Paan-B_43_01_5",10
